Season_year,Season_div,OPP,Result,T Score,O Score,MIN,FG,FGM,FGA,FG%,3PT,3PTM,3PTA,3P%,FT,FTM,FTA,FT%,REB,AST,BLK,STL,PF,TO,PTS,Date
2009-2010,Regular,POR,W,122,116,48,13-25,13,25,52,4-6,4,6,66.7,12-12,12,12,100,9,8,1,2,0,2,42,14/4/2010
2009-2010,Regular,UTA,L,94,103,41,5-15,5,15,33.3,1-4,1,4,25,6-6,6,6,100,5,6,0,2,4,2,17,13/4/2010
2009-2010,Regular,OKC,W,120,117,35,9-16,9,16,56.3,3-6,3,6,50,4-6,4,6,66.7,7,7,0,1,2,5,25,11/4/2010
2009-2010,Regular,LAC,L,104,107,41,10-19,10,19,52.6,5-10,5,10,50,4-4,4,4,100,9,4,0,3,5,3,29,10/4/2010
2009-2010,Regular,MIN,W,116,107,44,12-22,12,22,54.5,3-5,3,5,60,0-0,0,0,0,8,14,0,7,4,4,27,7/4/2010
2009-2010,Regular,WSH,L,94,112,33,10-21,10,21,47.6,3-6,3,6,50,4-4,4,4,100,1,4,0,2,2,2,27,6/4/2010
2009-2010,Regular,TOR,W,113,112,44,10-23,10,23,43.5,5-11,5,11,45.5,4-6,4,6,66.7,8,12,2,3,4,5,29,4/4/2010
2009-2010,Regular,NYK,W,128,117,29,7-21,7,21,33.3,1-5,1,5,20,0-0,0,0,0,4,10,0,1,1,2,15,2/4/2010
2009-2010,Regular,UTA,L,104,128,34,6-16,6,16,37.5,1-4,1,4,25,2-3,2,3,66.7,2,6,0,0,5,4,15,31/3/2010
2009-2010,Regular,LAC,W,121,103,40,8-15,8,15,53.3,2-2,2,2,100,0-0,0,0,0,4,7,0,1,5,3,18,28/3/2010
2009-2010,Regular,DAL,L,90,111,37,6-16,6,16,37.5,3-5,3,5,60,2-2,2,2,100,7,6,0,2,1,7,17,27/3/2010
2009-2010,Regular,MEM,W,128,110,40,12-19,12,19,63.2,4-6,4,6,66.7,2-2,2,2,100,5,11,0,4,3,7,30,24/3/2010
2009-2010,Regular,PHX,L,131,133,34,6-15,6,15,40,2-5,2,5,40,0-0,0,0,0,4,8,0,4,4,1,14,22/3/2010
2009-2010,Regular,MEM,L,107,123,25,4-10,4,10,40,1-3,1,3,33.3,0-0,0,0,0,4,6,1,0,2,2,9,20/3/2010
2009-2010,Regular,LAL,L,121,124,34,11-19,11,19,57.9,5-9,5,9,55.6,2-2,2,2,100,5,9,0,1,4,0,29,15/3/2010
2009-2010,Regular,TOR,W,124,112,42,13-21,13,21,61.9,5-8,5,8,62.5,4-4,4,4,100,6,10,1,4,1,2,35,13/3/2010
2009-2010,Regular,POR,L,105,110,33,6-15,6,15,40,2-7,2,7,28.6,1-1,1,1,100,5,3,0,2,5,4,15,11/3/2010
2009-2010,Regular,NOP,L,131,135,34,5-13,5,13,38.5,2-4,2,4,50,0-0,0,0,0,3,6,0,1,2,4,12,8/3/2010
2009-2010,Regular,CHA,L,90,101,48,8-23,8,23,34.8,4-8,4,8,50,5-6,5,6,83.3,5,4,0,0,1,3,25,6/3/2010
2009-2010,Regular,ATL,L,122,127,48,11-19,11,19,57.9,5-9,5,9,55.6,4-4,4,4,100,5,11,0,2,1,7,31,5/3/2010
2009-2010,Regular,ORL,L,90,117,32,3-12,3,12,25,1-2,1,2,50,2-2,2,2,100,3,7,0,2,2,5,9,3/3/2010
2009-2010,Regular,MIA,L,106,110,43,7-17,7,17,41.2,3-8,3,8,37.5,1-1,1,1,100,2,8,0,2,5,3,18,2/3/2010
2009-2010,Regular,DET,W,95,88,48,11-25,11,25,44,3-6,3,6,50,2-3,2,3,66.7,5,4,0,1,4,5,27,27/2/2010
2009-2010,Regular,DEN,L,112,127,42,11-19,11,19,57.9,2-5,2,5,40,6-6,6,6,100,7,13,1,2,1,2,30,25/2/2010
2009-2010,Regular,PHI,L,102,110,38,8-22,8,22,36.4,1-8,1,8,12.5,0-1,0,1,0,6,5,0,0,2,2,17,23/2/2010
2009-2010,Regular,ATL,W,108,104,45,13-18,13,18,72.2,1-3,1,3,33.3,5-5,5,5,100,9,3,0,1,3,5,32,21/2/2010
2009-2010,Regular,UTA,L,89,100,39,4-9,4,9,44.4,3-6,3,6,50,2-2,2,2,100,6,7,0,3,1,10,13,19/2/2010
2009-2010,Regular,SAC,W,130,98,40,10-15,10,15,66.7,1-4,1,4,25,3-3,3,3,100,6,15,0,3,2,3,24,17/2/2010
2009-2010,Regular,LAL,L,94,104,44,5-21,5,21,23.8,1-10,1,10,10,0-0,0,0,0,10,8,0,1,5,4,11,16/2/2010
2009-2010,Regular,LAC,W,132,102,46,11-22,11,22,50,7-11,7,11,63.6,7-8,7,8,87.5,10,13,0,3,4,6,36,10/2/2010
2009-2010,Regular,DAL,L,117,127,48,9-20,9,20,45,1-5,1,5,20,6-6,6,6,100,2,9,0,2,4,3,25,8/2/2010
2009-2010,Regular,OKC,L,95,104,27,9-15,9,15,60,3-7,3,7,42.9,2-3,2,3,66.7,1,4,0,2,3,3,23,6/2/2010
2009-2010,Regular,DAL,L,101,110,27,1-6,1,6,16.7,0-2,0,2,0,4-4,4,4,100,0,3,0,0,2,3,6,3/2/2010
2009-2010,Regular,HOU,L,97,119,30,6-18,6,18,33.3,2-5,2,5,40,0-0,0,0,0,2,4,0,1,1,0,14,2/2/2010
2009-2010,Regular,OKC,L,104,112,36,4-10,4,10,40,2-2,2,2,100,4-4,4,4,100,4,5,0,1,2,5,14,31/1/2010
2009-2010,Regular,CHA,L,110,121,41,8-15,8,15,53.3,2-4,2,4,50,4-4,4,4,100,1,9,0,3,3,1,22,29/1/2010
